"gene_id" "effective_length"
"ENSG00000000003.14" 1970.15
"ENSG00000000005.5" 681.74
"ENSG00000000419.12" 821.52
"ENSG00000000457.13" 3869.47
"ENSG00000000460.16" 2357.97
"ENSG00000000938.12" 845.16
"ENSG00000000971.15" 2015.09
"ENSG00000001036.13" 2060.41
"ENSG00000001084.10" 3170.67
"ENSG00000001167.14" 3039.95
"ENSG00000001460.17" 1868.33
"ENSG00000001461.16" 3132.62
"ENSG00000001497.16" 2136.56
"ENSG00000001561.6" 4392.16
"ENSG00000001617.11" 3118.33
"ENSG00000001626.14" 4057.16
"ENSG00000001629.9" 5396.98
"ENSG00000001630.15" 2862.73
"ENSG00000001631.15" 1684.08
"ENSG00000002016.17" 1156.64
"ENSG00000002079.12" 807.89
"ENSG00000002330.13" 610.97
"ENSG00000002549.12" 1639.75
"ENSG00000002586.18" 924.58
"ENSG00000002586.18_PAR_Y" 924.58
"ENSG00000002587.9" 7772.16
"ENSG00000002726.20" 2194.16
"ENSG00000002745.12" 2318.16
"ENSG00000002746.14" 155.67
"ENSG00000002822.15" 1318.18
"ENSG00000002834.17" 3824.64
"ENSG00000002919.14" 1889.25
"ENSG00000002933.7" 376.19
"ENSG00000003056.7" 2071.23
"ENSG00000003096.13" 2883.36
"ENSG00000003137.8" 2775.55
"ENSG00000003147.17" 1183.88
"ENSG00000003249.13" 1799.08
"ENSG00000003393.14" 4872.5
"ENSG00000003400.14" 1211.07
"ENSG00000003402.19" 2286.1
"ENSG00000003436.14" 1333.39
"ENSG00000003509.15" 1518.95
"ENSG00000003756.16" 1668.1
"ENSG00000003987.13" 3383.6
"ENSG00000003989.16" 7363.16
"ENSG00000004059.10" 705.54
"ENSG00000004139.13" 3500.38
"ENSG00000004142.11" 1862.16
"ENSG00000004399.12" 1956.03
"ENSG00000004455.16" 1258.67
"ENSG00000004468.12" 5409.16
"ENSG00000004478.7" 3368.61
"ENSG00000004487.15" 2455.71
"ENSG00000004534.14" 2311.14
"ENSG00000004660.14" 3261.56
"ENSG00000004700.15" 2350.8
"ENSG00000004766.15" 3056.39
"ENSG00000004776.11" 1199.16
"ENSG00000004777.18" 3870.92
"ENSG00000004779.9" 458.05
"ENSG00000004799.7" 3317.16
"ENSG00000004809.13" 1133.01
"ENSG00000004838.13" 709.72
"ENSG00000004846.16" 2295.16
"ENSG00000004848.7" 523.43
"ENSG00000004864.13" 2738.85
"ENSG00000004866.19" 1991.69
"ENSG00000004897.11" 3046.5
"ENSG00000004939.13" 3596.16
"ENSG00000004948.13" 1932.16
"ENSG00000004961.14" 1123.27
"ENSG00000004975.11" 1986.2
"ENSG00000005001.9" 723.23
"ENSG00000005007.12" 4550.94
"ENSG00000005020.12" 2552.11
"ENSG00000005022.5" 1005.72
"ENSG00000005059.15" 1776.5
"ENSG00000005073.5" 1878.16
"ENSG00000005075.15" 669.92
"ENSG00000005100.12" 4941
"ENSG00000005102.12" 2448.16
"ENSG00000005108.15" 9904.87
"ENSG00000005156.11" 3432.6
"ENSG00000005175.9" 2055.7
"ENSG00000005187.11" 268.38
"ENSG00000005189.19" 1785.75
"ENSG00000005194.14" 1679.26
"ENSG00000005206.16" 1416.97
"ENSG00000005238.19" 2552.93
"ENSG00000005243.9" 504.47
"ENSG00000005249.12" 3486.16
"ENSG00000005302.17" 1886.88
"ENSG00000005339.14" 8710.62
"ENSG00000005379.15" 1955.62
"ENSG00000005381.7" 715.88
"ENSG00000005421.8" 799.16
"ENSG00000005436.13" 1729.43
"ENSG00000005448.16" 843.15
"ENSG00000005469.11" 2297.21
"ENSG00000005471.15" 3084.96
"ENSG00000005483.20" 5512.07
"ENSG00000005486.16" 1238.46
"ENSG00000005513.9" 2937.95
"ENSG00000005700.14" 5162
"ENSG00000005801.16" 1732.03
"ENSG00000005810.17" 3157.64
"ENSG00000005812.10" 3103.39
"ENSG00000005844.17" 839.48
"ENSG00000005882.11" 1294.7
"ENSG00000005884.17" 3628.4
"ENSG00000005889.15" 4732.17
"ENSG00000005893.15" 2275.66
"ENSG00000005961.17" 3071.64
"ENSG00000005981.12" 2340.65
"ENSG00000006007.11" 1965.93
"ENSG00000006015.17" 653.86
"ENSG00000006016.10" 823.48
"ENSG00000006025.11" 2625.98
"ENSG00000006042.11" 961.55
"ENSG00000006047.12" 1443.12
"ENSG00000006059.3" 1028.16
"ENSG00000006062.13" 3681.5
"ENSG00000006071.12" 4662.31
"ENSG00000006116.3" 2829.16
"ENSG00000006118.14" 1925.55
"ENSG00000006125.16" 4671.61
